Timestamp,Temp(C),Hum(%),MQ2(V),MQ3(V),MQ5(V),MQ7(V),MQ8(V),MQ135(V)
2025-12-18 23:24:54,35.4,39.8,0.13,0.82,0.18,0.02,1.08,0.12
2025-12-18 23:24:59,35.3,37.8,0.14,0.82,0.17,0.0,0.82,0.08
2025-12-18 23:25:04,35.1,39.0,0.13,0.88,0.21,0.01,0.97,0.07
2025-12-18 23:25:10,35.0,40.9,0.13,0.9,0.19,0.03,1.15,0.13
2025-12-18 23:25:15,35.0,41.2,0.15,0.92,0.25,0.02,1.21,0.16
2025-12-18 23:25:20,35.1,41.8,0.2,0.91,0.23,0.04,1.27,0.16
2025-12-18 23:25:25,35.2,42.0,0.18,0.94,0.28,0.03,1.23,0.23
2025-12-18 23:25:31,35.4,42.0,0.23,0.92,0.23,0.04,1.26,0.27
2025-12-18 23:25:36,35.6,42.1,0.23,0.92,0.25,0.05,1.3,0.27
2025-12-18 23:25:41,35.9,42.2,0.21,0.93,0.27,0.05,1.3,0.29
2025-12-18 23:25:46,36.0,41.9,0.22,0.95,0.32,0.04,1.27,0.27
2025-12-18 23:25:52,36.5,41.5,0.22,0.96,0.42,0.05,1.28,0.28
2025-12-18 23:25:57,36.9,41.5,0.26,0.94,0.43,0.08,1.31,0.31
2025-12-18 23:26:02,37.2,41.3,0.27,0.95,0.5,0.07,1.3,0.3
2025-12-18 23:26:08,37.4,40.8,0.27,0.95,0.5,0.08,1.32,0.31
2025-12-18 23:26:13,37.6,40.6,0.24,0.98,0.42,0.06,1.3,0.31
2025-12-18 23:26:18,37.9,40.4,0.28,0.95,0.52,0.07,1.3,0.32
2025-12-18 23:26:23,38.1,40.1,0.25,0.98,0.36,0.06,1.31,0.35
2025-12-18 23:26:29,38.4,39.8,0.28,0.96,0.55,0.08,1.3,0.32
2025-12-18 23:26:34,38.5,39.6,0.25,0.98,0.38,0.06,1.3,0.33
2025-12-18 23:26:39,38.7,39.2,0.27,0.97,0.36,0.08,1.32,0.36
2025-12-18 23:26:44,38.9,38.9,0.29,0.97,0.36,0.09,1.33,0.37
2025-12-18 23:26:50,39.3,38.6,0.26,0.99,0.4,0.07,1.28,0.36
2025-12-18 23:26:55,39.4,38.4,0.27,0.97,0.38,0.07,1.3,0.36
2025-12-18 23:27:00,39.7,38.2,0.27,0.99,0.54,0.08,1.28,0.33
2025-12-18 23:27:06,39.7,38.2,0.27,0.96,0.6,0.08,1.27,0.36
2025-12-18 23:27:12,40.0,37.6,0.27,0.99,0.43,0.07,1.27,0.36
2025-12-18 23:27:17,40.2,37.4,0.29,0.98,0.5,0.07,1.27,0.36
2025-12-18 23:27:22,40.4,37.1,0.3,0.97,0.43,0.11,1.27,0.35
2025-12-18 23:27:27,40.6,36.9,0.3,0.97,0.61,0.1,1.24,0.33
2025-12-18 23:27:33,40.7,36.7,0.21,0.89,0.38,0.1,0.83,0.18
2025-12-18 23:27:38,41.0,34.3,0.17,0.83,0.56,0.07,0.44,0.1
2025-12-18 23:27:43,41.2,32.1,0.12,0.83,0.29,0.05,0.56,0.04
2025-12-18 23:27:48,41.4,32.1,0.11,0.89,0.34,0.07,0.84,0.04
2025-12-18 23:27:54,41.6,34.1,0.14,0.87,0.38,0.07,0.63,0.14
2025-12-18 23:27:59,41.7,33.2,0.15,0.88,0.21,0.05,0.87,0.08
2025-12-18 23:28:04,41.9,33.5,0.1,0.85,0.39,0.08,1.01,0.22
2025-12-18 23:28:09,41.7,33.5,0.08,0.8,0.21,0.05,0.48,0.15
2025-12-18 23:28:15,41.5,31.5,0.08,0.76,0.35,0.04,0.15,0.06
2025-12-18 23:28:20,41.5,30.7,0.02,0.71,0.16,0.06,0.17,0.08
