Timestamp,Temp(C),Hum(%),MQ2(V),MQ3(V),MQ5(V),MQ7(V),MQ8(V),MQ135(V)
2025-12-18 22:53:23,35.0,32.9,0.37,0.52,1.06,0.31,0.55,0.29
2025-12-18 22:53:28,35.1,33.0,0.37,0.54,1.06,0.32,0.55,0.28
2025-12-18 22:53:35,35.1,33.0,0.36,0.53,1.03,0.32,0.55,0.29
2025-12-18 22:53:40,35.1,32.6,0.37,0.53,1.06,0.32,0.54,0.3
2025-12-18 22:53:45,35.1,32.7,0.37,0.55,1.08,0.3,0.55,0.27
2025-12-18 22:53:50,35.0,32.7,0.36,0.54,0.92,0.31,0.54,0.27
2025-12-18 22:53:56,35.0,32.7,0.37,0.55,1.08,0.3,0.56,0.29
2025-12-18 22:54:01,35.1,32.6,0.35,0.55,1.0,0.32,0.56,0.29
2025-12-18 22:54:06,35.1,32.7,0.36,0.56,1.0,0.29,0.54,0.29
2025-12-18 22:54:11,35.1,32.6,0.37,0.56,1.07,0.3,0.55,0.28
2025-12-18 22:54:17,35.1,32.4,0.36,0.56,1.0,0.32,0.55,0.29
2025-12-18 22:54:22,35.2,32.5,0.36,0.55,1.05,0.29,0.55,0.3
2025-12-18 22:54:27,35.1,32.5,0.37,0.55,0.95,0.32,0.56,0.29
2025-12-18 22:54:32,35.1,32.8,0.37,0.57,0.92,0.31,0.54,0.28
2025-12-18 22:54:38,35.0,32.7,0.37,0.55,0.96,0.31,0.51,0.28
2025-12-18 22:54:43,35.0,32.8,0.25,0.6,0.96,0.38,0.71,0.28
2025-12-18 22:54:48,35.0,39.3,0.26,0.61,1.12,0.36,0.55,0.28
2025-12-18 22:54:54,35.0,48.0,0.24,0.57,1.16,0.36,0.58,0.27
2025-12-18 22:54:59,35.1,42.1,0.69,0.57,1.12,0.35,0.63,0.28
2025-12-18 22:55:04,35.0,47.3,0.47,0.56,1.12,0.3,0.52,0.29
2025-12-18 22:55:09,35.0,36.5,0.26,0.62,0.98,0.31,0.72,0.29
2025-12-18 22:55:15,35.0,39.5,0.48,0.54,1.03,0.32,0.72,0.26
2025-12-18 22:55:20,35.0,34.9,0.38,0.55,1.06,0.31,0.72,0.26
2025-12-18 22:55:25,34.9,34.0,0.38,0.53,1.0,0.29,0.71,0.27
2025-12-18 22:55:30,35.0,33.8,0.37,0.53,1.06,0.31,0.71,0.27
2025-12-18 22:55:36,34.9,33.6,0.38,0.53,1.0,0.3,0.7,0.25
2025-12-18 22:55:41,34.8,33.6,0.39,0.55,0.96,0.31,0.69,0.26
2025-12-18 22:55:46,34.7,33.7,0.38,0.53,1.06,0.31,0.66,0.26
2025-12-18 22:55:51,34.6,34.0,0.38,0.53,0.91,0.29,0.67,0.25
2025-12-18 22:55:57,34.6,33.8,0.38,0.53,0.94,0.29,0.65,0.27
2025-12-18 22:56:02,34.5,34.0,0.46,0.5,1.12,0.35,0.64,0.34
2025-12-18 22:56:07,34.2,35.4,0.39,0.53,0.99,0.34,0.65,0.34
2025-12-18 22:56:12,34.2,35.2,0.38,0.52,1.06,0.34,0.65,0.33
2025-12-18 22:56:19,34.2,35.2,0.37,0.53,0.88,0.37,0.66,0.33
2025-12-18 22:56:24,34.1,34.5,0.38,0.56,0.99,0.33,0.68,0.36
2025-12-18 22:56:29,33.9,34.7,0.35,0.62,1.05,0.34,0.65,0.34
2025-12-18 22:56:34,33.9,34.7,0.38,0.63,1.02,0.34,0.67,0.34
2025-12-18 22:56:40,33.9,35.0,0.35,0.63,1.03,0.36,0.68,0.33
2025-12-18 22:56:45,33.8,34.9,0.38,0.64,0.97,0.36,0.68,0.35
2025-12-18 22:56:50,33.8,35.0,0.37,0.64,0.99,0.36,0.67,0.32
2025-12-18 22:56:55,33.8,35.1,0.37,0.65,0.89,0.35,0.65,0.35
2025-12-18 22:57:01,33.7,35.1,0.38,0.64,1.06,0.34,0.66,0.33
2025-12-18 22:57:06,33.8,35.0,0.4,0.66,0.88,0.36,0.64,0.34
2025-12-18 22:57:11,33.8,34.9,0.36,0.64,0.87,0.36,0.64,0.34
2025-12-18 22:57:17,33.7,35.0,0.39,0.66,1.06,0.33,0.67,0.34
2025-12-18 22:57:22,33.8,34.9,0.36,0.64,0.89,0.36,0.65,0.33
2025-12-18 22:57:27,33.8,35.0,0.39,0.68,0.97,0.33,0.64,0.35
2025-12-18 22:57:32,33.8,34.9,0.39,0.68,0.95,0.35,0.67,0.35
2025-12-18 22:57:38,33.8,35.0,0.36,0.67,1.04,0.34,0.66,0.35
2025-12-18 22:57:43,33.7,35.0,0.35,0.66,0.89,0.33,0.68,0.33
2025-12-18 22:57:48,33.8,34.9,0.36,0.67,1.05,0.36,0.68,0.32
2025-12-18 22:57:53,33.8,34.9,0.36,0.68,1.0,0.34,0.65,0.35
2025-12-18 22:57:59,33.8,35.0,0.37,0.71,0.9,0.34,0.66,0.33
2025-12-18 22:58:04,33.8,35.0,0.36,0.7,1.01,0.36,0.68,0.35
2025-12-18 22:58:09,34.0,35.0,0.39,0.72,0.87,0.33,0.65,0.35
2025-12-18 22:58:14,33.9,35.0,0.36,0.69,1.06,0.34,0.67,0.32
2025-12-18 22:58:20,33.9,34.8,0.36,0.69,0.89,0.33,0.64,0.35
2025-12-18 22:58:25,33.9,34.7,0.36,0.72,0.92,0.34,0.67,0.34
2025-12-18 22:58:30,34.0,34.8,0.36,0.7,0.96,0.36,0.65,0.33
2025-12-18 22:58:35,34.0,34.8,0.35,0.7,1.05,0.36,0.64,0.32
2025-12-18 22:58:41,33.9,34.7,0.37,0.71,1.0,0.35,0.68,0.35
2025-12-18 22:58:46,33.9,34.7,0.36,0.71,0.96,0.35,0.68,0.33
2025-12-18 22:58:51,34.0,34.9,0.39,0.73,0.88,0.36,0.67,0.34
2025-12-18 22:58:56,34.0,34.9,0.35,0.73,1.03,0.36,0.64,0.35
2025-12-18 22:59:02,34.0,34.7,0.39,0.73,0.92,0.33,0.66,0.35
2025-12-18 22:59:07,34.0,34.7,0.38,0.73,0.93,0.35,0.68,0.32
2025-12-18 22:59:12,34.0,34.8,0.38,0.74,0.88,0.34,0.66,0.35
2025-12-18 22:59:18,34.0,34.8,0.36,0.74,0.95,0.33,0.66,0.35
2025-12-18 22:59:24,34.1,34.7,0.38,0.74,0.89,0.33,0.65,0.35
2025-12-18 22:59:29,34.1,34.6,0.37,0.71,0.9,0.34,0.66,0.34
2025-12-18 22:59:34,34.1,34.6,0.39,0.71,1.06,0.36,0.67,0.34
2025-12-18 22:59:39,34.1,34.5,0.37,0.56,0.89,0.37,0.65,0.35
2025-12-18 22:59:45,34.1,34.6,0.4,0.54,0.93,0.35,0.64,0.33
2025-12-18 22:59:50,34.2,34.5,0.4,0.53,0.88,0.35,0.63,0.33
2025-12-18 22:59:55,34.2,34.5,0.4,0.55,0.96,0.37,0.65,0.35
2025-12-18 23:00:01,34.2,34.4,0.4,0.55,0.99,0.34,0.63,0.34
2025-12-18 23:00:06,34.3,34.3,0.39,0.55,0.97,0.36,0.65,0.35
2025-12-18 23:00:11,34.4,34.3,0.37,0.54,0.96,0.33,0.65,0.33
